window_end,bucket,n_est,alpha,r2,cv_r2,conf,thin_vs_current
2023-12-31,Packaged Foods & Meats,20,10.0,0.511,0.053,23512.0,False
2023-12-31,Passenger Airlines,10,30.0,0.322,-0.504,14504.0,False
2023-12-31,Personal Care Products,8,30.0,0.514,-0.098,7006.0,False
2023-12-31,Pharmaceuticals,33,30.0,0.3,-0.083,60584.0,False
2023-12-31,Property & Casualty Insurance,18,30.0,0.177,-0.447,36590.0,False
2023-12-31,Real Estate,13,0.3,0.975,0.0,2373.0,False
2023-12-31,Real Estate Management & Development,12,30.0,0.302,-0.127,7466.0,False
2023-12-31,Research & Consulting Services,12,0.1,0.999,0.733,47379.0,False
2023-12-31,Residential REITs,9,0.1,1.0,0.661,5690.0,False
2023-12-31,Restaurants,9,30.0,0.573,-0.249,53309.0,True
2023-12-31,Semiconductor Materials & Equipment,11,0.1,0.999,0.516,12537.0,False
2023-12-31,Semiconductors,20,30.0,0.489,0.127,83157.0,False
2023-12-31,Specialized REITs,9,3.0,0.92,-0.004,12238.0,False
2023-12-31,Specialty Chemicals,10,0.1,1.0,0.638,15397.0,False
2023-12-31,Specialty Retail,14,30.0,0.324,-0.085,59783.0,False
2023-12-31,Systems Software,12,3.0,0.933,0.438,16273.0,False
2023-12-31,"Technology Hardware, Storage & Peripherals",15,3.0,0.85,0.258,26543.0,False
2023-12-31,Trading Companies & Distributors,12,10.0,0.751,0.155,18877.0,False
2023-12-31,Transaction & Payment Processing Services,12,0.1,0.998,0.683,23648.0,False
2023-12-31,Wireless Telecommunication Services,8,3.0,0.919,-0.159,50690.0,False
2024-12-31,Aerospace & Defense,27,10.0,0.606,0.132,66168.0,False
2024-12-31,"Apparel, Accessories & Luxury Goods",8,30.0,0.45,-0.29,19393.0,False
2024-12-31,Application Software,29,3.0,0.622,0.092,113691.0,False
2024-12-31,Asset Management & Custody Banks,18,30.0,0.239,-0.125,34906.0,False
2024-12-31,Automobile Components,9,30.0,0.403,-0.19,9558.0,False
2024-12-31,Automobile Manufacturers,17,30.0,0.318,-0.04,37075.0,False
2024-12-31,Biotechnology,17,30.0,0.393,-0.214,16376.0,False
2024-12-31,Broadline Retail,10,30.0,0.264,-0.428,25334.0,False
2024-12-31,Building Products,13,0.1,0.995,0.689,19019.0,False
2024-12-31,Chemicals,20,30.0,0.359,0.015,20539.0,False
2024-12-31,Commercial Services & Supplies,11,30.0,0.322,-0.262,15437.0,False
2024-12-31,Communications Equipment,8,0.1,1.0,0.679,17032.0,False
2024-12-31,Construction & Engineering,16,30.0,0.145,-0.443,33673.0,False
2024-12-31,Construction Machinery & Heavy Transportation Equipment,14,30.0,0.213,-0.491,21500.0,False
2024-12-31,Construction Materials,8,30.0,0.315,-0.485,6579.0,False
2024-12-31,Consumer Discretionary,10,3.0,0.905,-0.041,14540.0,False
2024-12-31,Consumer Staples,20,30.0,0.359,-0.114,25905.0,False
2024-12-31,Diversified Banks,96,30.0,0.066,-0.139,289490.0,False
2024-12-31,Electrical Components & Equipment,16,30.0,0.236,-0.386,29865.0,False
2024-12-31,Electric Utilities,33,30.0,0.351,0.001,20401.0,False
2024-12-31,Electronic Components,10,1.0,0.944,0.219,4812.0,False
2024-12-31,Electronic Equipment & Instruments,9,10.0,0.59,-0.141,9728.0,False
2024-12-31,Entertainment,9,10.0,0.789,0.123,28682.0,False
2024-12-31,Financial Exchanges & Data,14,10.0,0.767,0.075,20262.0,False
2024-12-31,Financials,23,30.0,0.394,-0.037,76354.0,False
2024-12-31,Financial Services,8,30.0,0.525,-0.477,9203.0,False
2024-12-31,Food Retail,8,0.1,1.0,0.391,77718.0,False
2024-12-31,global,1181,30.0,0.097,0.078,2819917.0,False
2024-12-31,Ground Transportation,8,10.0,0.682,0.074,17326.0,False
2024-12-31,Health Care Equipment,23,10.0,0.546,0.028,55155.0,False
2024-12-31,Health Care Providers & Services,16,3.0,0.855,0.346,83177.0,False
2024-12-31,Heavy Electrical Equipment,8,30.0,0.349,-0.571,17275.0,False
2024-12-31,"Hotels, Resorts & Cruise Lines",14,30.0,0.327,-0.414,39267.0,False
2024-12-31,Household Durables,10,30.0,0.319,-0.425,11242.0,False
2024-12-31,Household Products,8,30.0,0.292,-0.717,34720.0,False
2024-12-31,Independent Power & Renewable Electricity Producers,9,30.0,0.459,-0.367,4274.0,False
2024-12-31,Industrial Conglomerates,12,30.0,0.194,-0.445,35786.0,False
2024-12-31,Industrial Machinery & Supplies & Components,26,30.0,0.21,-0.302,21541.0,False
2024-12-31,Industrials,23,30.0,0.352,0.019,78346.0,False
2024-12-31,Integrated Oil & Gas,15,30.0,0.5,-0.174,33451.0,False
2024-12-31,Integrated Telecommunication Services,22,30.0,0.313,-0.249,90639.0,False
2024-12-31,Interactive Media & Services,11,0.1,1.0,0.323,9912.0,False
2024-12-31,Internet Services & Infrastructure,8,30.0,0.433,-0.207,12783.0,False
2024-12-31,Investment Banking & Brokerage,15,30.0,0.531,0.196,56916.0,False
2024-12-31,IT Consulting & Other Services,15,30.0,0.387,-0.177,139064.0,False
2024-12-31,Life & Health Insurance,20,30.0,0.195,-0.342,43182.0,False
2024-12-31,Life Sciences Tools & Services,14,30.0,0.18,-0.581,23484.0,False
2024-12-31,Metals & Mining,15,10.0,0.714,0.181,11941.0,False
2024-12-31,Multi-Utilities,13,3.0,0.949,0.461,13384.0,False
2024-12-31,Oil & Gas Exploration & Production,11,30.0,0.388,-0.288,5014.0,False
2024-12-31,Oil & Gas Refining & Marketing,8,30.0,0.304,-0.649,11367.0,False
2024-12-31,Oil & Gas Storage & Transportation,9,30.0,0.441,-0.001,5249.0,False
2024-12-31,Packaged Foods & Meats,21,30.0,0.44,0.089,26860.0,False
2024-12-31,Passenger Airlines,9,30.0,0.32,-0.302,16333.0,False
2024-12-31,Personal Care Products,8,0.1,1.0,0.733,8659.0,False
2024-12-31,Pharmaceuticals,34,30.0,0.262,-0.119,73506.0,False
2024-12-31,Property & Casualty Insurance,20,30.0,0.31,-0.293,41467.0,False
2024-12-31,Real Estate,12,30.0,0.206,-0.232,2626.0,False
2024-12-31,Real Estate Management & Development,12,30.0,0.29,-0.058,8518.0,False
2024-12-31,Research & Consulting Services,12,1.0,0.94,0.09,53743.0,False
2024-12-31,Residential REITs,9,30.0,0.518,-0.067,6303.0,False
2024-12-31,Restaurants,13,3.0,0.888,0.279,79684.0,False
2024-12-31,Semiconductor Materials & Equipment,11,30.0,0.407,-0.293,15058.0,False
2024-12-31,Semiconductors,23,10.0,0.67,0.168,96889.0,False
2024-12-31,Soft Drinks & Non-alcoholic Beverages,8,30.0,0.587,-0.404,29641.0,False
2024-12-31,Specialized REITs,9,10.0,0.655,-0.187,14142.0,False
2024-12-31,Specialty Chemicals,12,30.0,0.238,-0.396,17787.0,False
2024-12-31,Specialty Retail,17,30.0,0.31,-0.006,72430.0,False
2024-12-31,Steel,9,10.0,0.658,0.202,7977.0,False
2024-12-31,Systems Software,12,3.0,0.923,0.464,27494.0,False
2024-12-31,"Technology Hardware, Storage & Peripherals",19,30.0,0.478,0.023,36817.0,False
2024-12-31,Trading Companies & Distributors,14,3.0,0.873,0.065,21372.0,False
2024-12-31,Transaction & Payment Processing Services,12,30.0,0.346,-0.26,29236.0,False
2024-12-31,Wireless Telecommunication Services,11,10.0,0.745,-0.207,57578.0,False
2025-12-31,Aerospace & Defense,27,30.0,0.306,-0.072,72342.0,False
2025-12-31,"Apparel, Accessories & Luxury Goods",8,10.0,0.731,0.077,21653.0,False
2025-12-31,Application Software,29,30.0,0.445,0.003,131531.0,False
2025-12-31,Asset Management & Custody Banks,19,30.0,0.192,-0.104,38312.0,False
2025-12-31,Automobile Components,9,3.0,0.955,0.453,10647.0,False
2025-12-31,Automobile Manufacturers,18,30.0,0.222,-0.116,42410.0,False
2025-12-31,Biotechnology,17,30.0,0.206,-0.384,18575.0,False
2025-12-31,Broadline Retail,12,30.0,0.342,-0.07,28228.0,False
2025-12-31,Building Products,13,3.0,0.801,-0.056,21162.0,False
2025-12-31,Casinos & Gaming,8,0.1,1.0,0.42,6163.0,False
2025-12-31,Chemicals,20,30.0,0.45,0.204,22518.0,False
2025-12-31,Commercial Services & Supplies,10,30.0,0.136,-0.462,16483.0,False
2025-12-31,Communications Equipment,8,0.3,0.999,0.564,20367.0,False
2025-12-31,Construction & Engineering,16,30.0,0.345,-0.158,36851.0,False
2025-12-31,Construction Machinery & Heavy Transportation Equipment,15,30.0,0.132,-0.575,28594.0,False
2025-12-31,Construction Materials,8,1.0,0.973,-0.031,7242.0,False
2025-12-31,Consumer Discretionary,11,30.0,0.434,-0.129,16553.0,False
2025-12-31,Consumer Staples,22,30.0,0.172,-0.314,28449.0,False
2025-12-31,Consumer Staples Merchandise Retail,8,30.0,0.477,-0.127,95466.0,False
2025-12-31,Diversified Banks,101,30.0,0.05,-0.137,319506.0,False
2025-12-31,Electrical Components & Equipment,16,30.0,0.295,-0.456,32933.0,False
2025-12-31,Electric Utilities,33,30.0,0.325,-0.059,22463.0,False
2025-12-31,Electronic Components,10,3.0,0.817,-0.059,5362.0,False
2025-12-31,Electronic Equipment & Instruments,9,30.0,0.374,-0.199,10763.0,False
2025-12-31,Entertainment,9,30.0,0.555,-0.23,31089.0,False
2025-12-31,Financial Exchanges & Data,14,30.0,0.536,0.035,22813.0,False
2025-12-31,Financials,23,10.0,0.588,0.139,85389.0,False
2025-12-31,Financial Services,8,30.0,0.623,-0.463,9815.0,False
2025-12-31,Food Retail,9,0.1,0.999,0.286,87403.0,False
2025-12-31,global,1222,30.0,0.066,0.047,3212655.0,False
2025-12-31,Ground Transportation,8,30.0,0.329,-0.291,18680.0,False
2025-12-31,Health Care Equipment,25,30.0,0.279,-0.146,61602.0,False
2025-12-31,Health Care Providers & Services,16,30.0,0.475,-0.007,91441.0,False
2025-12-31,Heavy Electrical Equipment,9,30.0,0.297,-0.726,19017.0,False
2025-12-31,"Hotels, Resorts & Cruise Lines",15,30.0,0.187,-0.425,43845.0,False
2025-12-31,Household Durables,12,30.0,0.438,-0.235,13065.0,False
2025-12-31,Household Products,8,30.0,0.335,-0.404,37737.0,False
2025-12-31,Independent Power & Renewable Electricity Producers,9,10.0,0.766,0.011,4877.0,False
2025-12-31,Industrial Conglomerates,12,30.0,0.241,-0.318,39812.0,False
2025-12-31,Industrial Machinery & Supplies & Components,25,30.0,0.126,-0.287,23268.0,False
2025-12-31,Industrials,27,30.0,0.3,-0.047,86620.0,False
2025-12-31,Integrated Oil & Gas,16,30.0,0.457,-0.224,36319.0,False
2025-12-31,Integrated Telecommunication Services,22,30.0,0.385,-0.005,98551.0,False
2025-12-31,Interactive Media & Services,13,0.1,0.999,0.293,12634.0,False
2025-12-31,Internet Services & Infrastructure,9,3.0,0.829,-0.145,14661.0,False
2025-12-31,Investment Banking & Brokerage,15,30.0,0.385,0.089,62623.0,False
2025-12-31,IT Consulting & Other Services,16,3.0,0.786,0.049,204468.0,False
2025-12-31,Life & Health Insurance,21,30.0,0.25,-0.111,47040.0,False
2025-12-31,Life Sciences Tools & Services,15,30.0,0.255,-0.398,28349.0,False
2025-12-31,Media,8,10.0,0.797,-0.2,9109.0,False
2025-12-31,Metals & Mining,15,30.0,0.376,-0.088,12949.0,False
2025-12-31,Multi-line Insurance,8,0.1,1.0,0.084,11663.0,False
2025-12-31,Multi-Utilities,13,3.0,0.926,0.398,14863.0,False
2025-12-31,Oil & Gas Exploration & Production,9,10.0,0.756,-0.004,5066.0,False
2025-12-31,Oil & Gas Refining & Marketing,8,30.0,0.462,-0.248,12535.0,False
2025-12-31,Oil & Gas Storage & Transportation,9,10.0,0.776,0.232,5706.0,False
2025-12-31,Packaged Foods & Meats,22,3.0,0.875,0.576,29071.0,False
2025-12-31,Passenger Airlines,9,30.0,0.334,-0.264,17660.0,False
2025-12-31,Personal Care Products,8,1.0,0.985,0.666,9906.0,False
2025-12-31,Pharmaceuticals,35,30.0,0.142,-0.313,82350.0,False
2025-12-31,Property & Casualty Insurance,22,10.0,0.662,0.233,45737.0,False
2025-12-31,Real Estate,15,30.0,0.266,-0.298,3318.0,False
2025-12-31,Real Estate Management & Development,13,30.0,0.336,-0.119,9476.0,False
2025-12-31,Research & Consulting Services,12,0.1,0.999,0.416,58485.0,False
2025-12-31,Residential REITs,9,30.0,0.356,-0.381,6708.0,False
2025-12-31,Restaurants,14,10.0,0.612,-0.179,108117.0,False
2025-12-31,Semiconductor Materials & Equipment,10,30.0,0.254,-0.573,16678.0,False
2025-12-31,Semiconductors,21,10.0,0.697,0.073,106303.0,False
2025-12-31,Soft Drinks & Non-alcoholic Beverages,8,30.0,0.54,-0.438,32092.0,False
2025-12-31,Specialized REITs,9,30.0,0.371,-0.308,15341.0,False
2025-12-31,Specialty Chemicals,13,30.0,0.201,-0.441,19307.0,False
2025-12-31,Specialty Retail,20,30.0,0.266,-0.156,82833.0,False
2025-12-31,Steel,9,30.0,0.473,0.037,8701.0,False
2025-12-31,Systems Software,12,10.0,0.777,0.096,36705.0,False
2025-12-31,"Technology Hardware, Storage & Peripherals",20,3.0,0.62,0.061,43740.0,False
2025-12-31,Trading Companies & Distributors,17,1.0,0.939,0.196,23684.0,False
2025-12-31,Transaction & Payment Processing Services,11,0.1,0.999,0.653,33055.0,False
2025-12-31,Wireless Telecommunication Services,10,3.0,0.865,0.081,61353.0,False
2026-06-30,Aerospace & Defense,27,30.0,0.261,-0.129,74336.0,False
2026-06-30,"Apparel, Accessories & Luxury Goods",8,3.0,0.882,0.309,22284.0,False
2026-06-30,Application Software,30,30.0,0.398,0.013,136757.0,False
2026-06-30,Asset Management & Custody Banks,19,30.0,0.166,-0.154,39468.0,False
2026-06-30,Automobile Components,8,1.0,0.981,0.555,10786.0,False
2026-06-30,Automobile Manufacturers,18,3.0,0.679,0.144,43519.0,False
2026-06-30,Biotechnology,17,30.0,0.183,-0.379,19190.0,False
2026-06-30,Broadline Retail,12,10.0,0.567,0.09,29075.0,False
2026-06-30,Building Products,13,30.0,0.285,-0.306,21730.0,False
2026-06-30,Casinos & Gaming,8,10.0,0.766,-0.181,6528.0,False
2026-06-30,Chemicals,20,30.0,0.406,0.071,23101.0,False
2026-06-30,Commercial Services & Supplies,10,30.0,0.155,-0.504,16958.0,False
2026-06-30,Communications Equipment,8,10.0,0.76,-0.059,20934.0,False
2026-06-30,Construction & Engineering,16,10.0,0.625,0.132,37872.0,False
2026-06-30,Construction Machinery & Heavy Transportation Equipment,15,30.0,0.129,-0.586,29161.0,False
2026-06-30,Construction Materials,8,0.1,1.0,0.296,7608.0,False
2026-06-30,Consumer Discretionary,11,30.0,0.458,-0.112,17093.0,False
2026-06-30,Consumer Staples,22,30.0,0.171,-0.296,29216.0,False
2026-06-30,Consumer Staples Merchandise Retail,8,30.0,0.37,-0.384,98452.0,False
2026-06-30,Diversified Banks,104,30.0,0.092,-0.084,327956.0,False
2026-06-30,Electrical Components & Equipment,17,30.0,0.243,-0.523,34160.0,False
2026-06-30,Electric Utilities,32,30.0,0.233,-0.255,22848.0,False
2026-06-30,Electronic Components,10,1.0,0.97,0.333,5521.0,False
2026-06-30,Electronic Equipment & Instruments,10,30.0,0.326,-0.138,11164.0,False
2026-06-30,Entertainment,9,30.0,0.496,-0.32,31838.0,False
2026-06-30,Financial Exchanges & Data,14,3.0,0.933,0.438,23792.0,False
2026-06-30,Financials,23,30.0,0.384,0.107,88184.0,False
2026-06-30,Financial Services,10,30.0,0.536,-0.313,10487.0,False
2026-06-30,Food Retail,10,0.1,0.999,0.48,90106.0,False
2026-06-30,global,1246,30.0,0.056,0.037,3312031.0,False
2026-06-30,Ground Transportation,8,30.0,0.357,-0.309,19144.0,False
2026-06-30,Health Care Equipment,25,3.0,0.705,0.157,63170.0,False
2026-06-30,Health Care Providers & Services,17,1.0,0.876,0.131,93089.0,False
2026-06-30,Heavy Electrical Equipment,9,30.0,0.202,-0.919,19570.0,False
2026-06-30,"Hotels, Resorts & Cruise Lines",15,30.0,0.238,-0.243,44942.0,False
2026-06-30,Household Durables,12,30.0,0.455,-0.221,13528.0,False
2026-06-30,Household Products,8,30.0,0.347,-0.417,38607.0,False
2026-06-30,Independent Power & Renewable Electricity Producers,9,30.0,0.46,-0.208,5076.0,False
2026-06-30,Industrial Conglomerates,13,30.0,0.321,-0.24,40751.0,False
2026-06-30,Industrial Machinery & Supplies & Components,27,30.0,0.18,-0.169,23998.0,False
2026-06-30,Industrials,27,30.0,0.116,-0.201,88806.0,False
2026-06-30,Integrated Oil & Gas,16,30.0,0.326,-0.462,37051.0,False
2026-06-30,Integrated Telecommunication Services,22,30.0,0.284,-0.129,100628.0,False
2026-06-30,Interactive Media & Services,13,0.3,0.981,-0.224,13570.0,False
2026-06-30,Internet Services & Infrastructure,10,3.0,0.877,0.385,15386.0,False
2026-06-30,Investment Banking & Brokerage,16,30.0,0.325,-0.019,64758.0,False
2026-06-30,IT Consulting & Other Services,16,3.0,0.783,0.16,214282.0,False
2026-06-30,Life & Health Insurance,22,30.0,0.261,-0.063,48036.0,False
2026-06-30,Life Sciences Tools & Services,15,30.0,0.25,-0.462,29346.0,False
2026-06-30,Media,8,30.0,0.414,-0.526,9585.0,False
2026-06-30,Metals & Mining,15,30.0,0.326,-0.133,13253.0,False
2026-06-30,Multi-line Insurance,8,10.0,0.688,-0.183,12141.0,False
2026-06-30,Multi-Utilities,13,0.1,0.998,0.675,15431.0,False
2026-06-30,Oil & Gas Exploration & Production,9,30.0,0.454,-0.229,5156.0,False
2026-06-30,Oil & Gas Refining & Marketing,8,30.0,0.39,-0.44,12754.0,False
2026-06-30,Oil & Gas Storage & Transportation,9,30.0,0.552,-0.269,5843.0,False
2026-06-30,Packaged Foods & Meats,22,3.0,0.872,0.428,29730.0,False
2026-06-30,Passenger Airlines,9,30.0,0.308,-0.308,18133.0,False
2026-06-30,Personal Care Products,8,3.0,0.942,0.441,10295.0,False
2026-06-30,Pharmaceuticals,35,30.0,0.124,-0.317,84995.0,False
2026-06-30,Property & Casualty Insurance,22,30.0,0.424,0.054,46787.0,False
2026-06-30,Real Estate,14,30.0,0.282,-0.233,3282.0,False
2026-06-30,Real Estate Management & Development,14,30.0,0.43,0.029,10228.0,False
2026-06-30,Research & Consulting Services,12,30.0,0.297,-0.337,60227.0,False
2026-06-30,Residential REITs,9,30.0,0.424,-0.271,6855.0,False
2026-06-30,Restaurants,16,30.0,0.274,-0.361,112787.0,False
2026-06-30,Semiconductor Materials & Equipment,10,30.0,0.269,-0.561,17331.0,False
2026-06-30,Semiconductors,22,30.0,0.439,-0.007,109517.0,False
2026-06-30,Soft Drinks & Non-alcoholic Beverages,8,30.0,0.503,-0.527,32770.0,False
2026-06-30,Specialized REITs,9,10.0,0.647,-0.175,15798.0,False
2026-06-30,Specialty Chemicals,14,30.0,0.227,-0.311,19855.0,False
2026-06-30,Specialty Retail,20,30.0,0.206,-0.251,85034.0,False
2026-06-30,Steel,10,30.0,0.462,-0.042,9112.0,False
2026-06-30,Systems Software,13,30.0,0.154,-0.303,38586.0,False
2026-06-30,"Technology Hardware, Storage & Peripherals",20,3.0,0.655,0.002,45236.0,False
2026-06-30,Trading Companies & Distributors,18,30.0,0.416,-0.147,24324.0,False
2026-06-30,Transaction & Payment Processing Services,12,1.0,0.974,0.493,34362.0,False
2026-06-30,Wireless Telecommunication Services,11,1.0,0.929,0.154,62802.0,False
